('8/1/1981', ['2.87', '3.62', '13.5', '59.7', '62.92', '20.24'])
('9/1/1981', ['2.55', '3.65', '13.7', '58.8', '65.09', '16.06'])
('10/1/1981', ['2.45', '3.77', '14', '55.7', '55.32', '9.11'])
('11/1/1981', ['2.34', '3.85', '14', '54.5', '65.95', '4.19'])
('12/1/1981', ['2.39', '3.8', '14', '52', '81.31', '-1.92'])
('1/1/1982', ['2.54', '3.78', '14', '53.5', '45.9', '-6.08'])
('2/1/1982', ['2.44', '3.7', '13.8', '56.3', '57.3', '-2.4'])
('3/1/1982', ['2.46', '3.67', '13.7', '58.6', '77.33', '2.68'])
('4/1/1982', ['2.55', '3.68', '13.5', '60.1', '72.01', '6.58'])
('5/1/1982', ['2.6', '3.64', '13.2', '62.6', '76.14', '13.76'])
('6/1/1982', ['2.57', '3.39', '13.2', '61.1', '67.6', '17.45'])
('7/1/1982', ['2.5', '3.26', '13.2', '58.8', '52.28', '21.13'])
('8/1/1982', ['2.3', '3.34', '13.3', '58.1', '63.55', '20.32'])
('9/1/1982', ['2.15', '3.38', '13.6', '55.6', '57.05', '15.91'])
('10/1/1982', ['1.98', '3.43', '13.8', '53.8', '61.74', '8.82'])
('11/1/1982', ['2.13', '3.48', '13.9', '52.6', '83.39', '2.19'])
('12/1/1982', ['2.26', '3.51', '13.9', '52.5', '73.43', '-0.47'])
('1/1/1983', ['2.36', '3.57', '13.9', '54.3', '32.28', '-2.68'])
('2/1/1983', ['2.56', '3.57', '13.8', '57.1', '46.78', '-0.16'])
('3/1/1983', ['2.71', '3.66', '13.6', '59.7', '58.34', '2.92'])
('4/1/1983', ['2.95', '3.75', '13.6', '61', '63.25', '6.45'])
('5/1/1983', ['3.03', '3.73', '13.3', '59.9', '68.07', '12.74'])
('6/1/1983', ['3.04', '3.5', '13.2', '58.3', '68.13', '17.98'])
('7/1/1983', ['3.13', '3.34', '13.2', '55.8', '70.78', '21.56'])
('8/1/1983', ['3.35', '3.61', '13.3', '54.2', '63.24', '21.59'])
('9/1/1983', ['3.32', '3.65', '13.5', '52.3', '44.98', '16.18'])
('10/1/1983', ['3.15', '3.6', '13.8', '51.7', '78.8', '9.93'])
('11/1/1983', ['3.17', '3.54', '13.9', '51.2', '60.4', '3.55'])
('12/1/1983', ['3.15', '3.48', '13.7', '54.5', '57.87', '-5.22'])
('1/1/1984', ['3.15', '3.5', '13.6', '57.2', '35.64', '-4.35'])
('2/1/1984', ['3.11', '3.4', '13.4', '59.7', '47.15', '-1.06'])
('3/1/1984', ['3.21', '3.49', '13.3', '61.7', '56.98', '2.27'])
('4/1/1984', ['3.32', '3.63', '13.1', '60.1', '42.05', '7.08'])
('5/1/1984', ['3.34', '3.66', '13', '58.6', '57.98', '13.54'])
('6/1/1984', ['3.36', '3.46', '12.9', '57.6', '64.8', '18.71'])
('7/1/1984', ['3.3', '3.29', '13', '57.6', '63.99', '21.01'])
('8/1/1984', ['3.12', '3.43', '13.2', '56.6', '72.18', '20.66'])
('9/1/1984', ['2.9', '3.43', '13.6', '55.7', '75.89', '15.47'])
('10/1/1984', ['2.65', '3.43', '14', '54.1', '73.11', '9.59'])
('11/1/1984', ['2.55', '3.45', '14.3', '54.8', '76.48', '2.22'])
('12/1/1984', ['2.56', '3.38', '14', '57', '36.07', '-1.34'])
('1/1/1985', ['2.64', '3.38', '13.9', '57.4', '33.67', '-4.17'])
('2/1/1985', ['2.62', '3.38', '13.7', '58.5', '58.45', '-3.69'])
('3/1/1985', ['2.67', '3.38', '13.3', '57.3', '44.32', '3.35'])
('4/1/1985', ['2.7', '3.43', '12.9', '56.2', '48.38', '8.57'])
('5/1/1985', ['2.68', '3.3', '12.5', '55.3', '63.6', '14.41'])
('6/1/1985', ['2.64', '3.09', '12.2', '53.6', '69.13', '18.08'])
('7/1/1985', ['2.6', '2.93', '12.1', '50.2', '69.15', '21.51'])
('8/1/1985', ['2.44', '2.89', '12.1', '49.4', '71.58', '19.79'])
('9/1/1985', ['2.29', '3.01', '12.3', '49.1', '86.27', '15.11'])
('10/1/1985', ['2.11', '3.1', '12.6', '52.1', '66.68', '9.45'])
('11/1/1985', ['2.21', '3.22', '12.6', '54.7', '66.01', '1.34'])
('12/1/1985', ['2.29', '3.25', '12.6', '53.7', '48.02', '-3.16'])
('1/1/1986', ['2.33', '3.19', '12.5', '53.2', '50.76', '-1.3'])
